Datetime,SO2,CO,O3,NO2,PM10,PM25
2018010101,0.004,0.8,0.001,0.035,66,24
2018010102,0.004,0.5,0.014,0.025,57,19
2018010103,0.004,0.7,0.007,0.027,50,11
2018010104,0.004,0.6,0.004,0.027,59,27
2018010105,0.004,0.6,0.006,0.024,52,22
2018010106,0.004,0.5,0.007,0.023,40,20
2018010107,0.004,0.5,0.005,0.025,45,16
2018010108,0.004,0.5,0.003,0.028,43,16
2018010109,0.004,0.6,0.007,0.025,38,18
2018010110,0.005,0.5,0.009,0.024,38,20
2018010111,0.006,0.5,0.013,0.025,52,23
2018010112,0.005,0.4,0.021,0.019,48,21
2018010113,0.004,0.3,0.028,0.012,40,8
2018010114,0.004,0.3,0.03,0.011,41,8
2018010115,0.004,0.4,0.029,0.012,47,12
2018010116,0.004,0.4,0.025,0.017,52,15
2018010117,0.005,0.5,0.024,0.019,50,19
2018010118,0.004,0.4,0.022,0.02,53,26
2018010119,0.004,0.4,0.022,0.019,49,24
2018010120,0.005,0.8,0.006,0.039,50,27
2018010121,0.006,0.8,0.002,0.041,66,31
2018010122,0.005,0.8,0.001,0.038,64,40
2018010123,0.004,0.8,0.001,0.036,81,41
2018010124,0.004,0.7,0.002,0.032,66,33
2018010201,0.004,0.7,0.005,0.026,55,28
2018010202,0.004,0.7,0.006,0.023,57,25
2018010203,0.004,0.7,0.007,0.021,60,31
2018010204,0.004,0.7,0.007,0.021,49,32
2018010205,0.003,0.7,0.004,0.024,52,24
2018010206,0.004,0.8,0.003,0.028,50,27
2018010207,0.004,0.8,0.001,0.033,51,27
2018010208,0.004,0.8,0.001,0.037,52,29
2018010209,0.005,1,0.002,0.043,62,34
2018010210,0.006,1,0.002,0.042,63,48
2018010211,0.007,1.1,0.002,0.045,66,39
2018010212,0.007,1.3,0.002,0.052,79,50
2018010213,0.006,0.9,0.007,0.041,90,44
2018010214,0.005,0.5,0.028,0.016,66,32
2018010215,0.005,0.5,0.026,0.018,53,22
2018010216,0.005,0.6,0.014,0.031,60,26
2018010217,0.005,0.7,0.006,0.036,70,32
2018010218,0.005,0.8,0.002,0.042,65,36
2018010219,0.006,1,0.001,0.049,79,37
2018010220,0.008,0.8,0.003,0.046,83,30
2018010221,0.01,0.8,0.001,0.045,66,30
2018010222,0.009,0.8,0.003,0.044,58,34
2018010223,0.005,0.5,0.005,0.035,51,31
2018010224,0.005,0.4,0.019,0.022,38,19
2018010301,0.004,0.3,0.025,0.015,29,7
2018010302,0.004,0.3,0.024,0.015,26,2
2018010303,0.004,0.4,0.021,0.016,28,5
2018010304,0.004,0.4,0.023,0.011,31,15
2018010305,0.006,0.4,0.013,0.021,30,13
2018010306,0.005,0.4,0.018,0.017,35,17
2018010307,0.006,0.5,0.005,0.032,35,24
2018010308,0.005,0.7,0.001,0.038,50,30
2018010309,0.006,0.8,0.002,0.038,57,29
2018010310,0.007,0.7,0.005,0.036,56,34
2018010311,0.007,0.7,0.01,0.031,54,27
2018010312,0.007,0.6,0.016,0.023,53,23
2018010313,0.006,0.5,0.018,0.02,41,17
2018010314,0.005,0.5,0.021,0.018,38,17
2018010315,0.005,0.3,0.025,0.015,41,11
2018010316,0.003,0.3,0.028,0.013,25,9
2018010317,0.003,0.3,0.026,0.016,27,5
2018010318,0.004,0.4,0.018,0.025,18,3
2018010319,0.007,0.5,0.006,0.039,25,13
2018010320,0.007,0.6,0.003,0.04,28,14
2018010321,0.007,0.5,0.005,0.037,35,21
2018010322,0.005,0.5,0.008,0.034,31,18
2018010323,0.005,0.5,0.011,0.03,33,14
2018010324,0.005,0.7,0.001,0.038,41,20
2018010401,0.004,0.6,0.003,0.032,40,24
2018010402,0.004,0.5,0.003,0.031,40,20
2018010403,0.004,0.5,0.006,0.028,40,18
2018010404,0.004,0.5,0.015,0.019,39,25
2018010405,0.004,0.4,0.018,0.016,44,22
2018010406,0.005,0.5,0.013,0.022,46,22
