일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%)
2018-01-01 1:00,-0.6,263.5,1.2,0,56.9
2018-01-01 2:00,-1.7,157.4,0.7,0,62.8
2018-01-01 3:00,-1.7,181.1,0.7,0,59.7
2018-01-01 4:00,-2.9,0,0,0,69.5
2018-01-01 5:00,-4.1,333.3,0.5,0,76.7
2018-01-01 6:00,-4.3,0,0.4,0,77.7
2018-01-01 7:00,-4.8,0,0.3,0,78.9
2018-01-01 8:00,-4.8,0,0.1,0,77
2018-01-01 9:00,-3.9,0,0.3,0,73.4
2018-01-01 10:00,0.3,0,0.1,0,58.6
2018-01-01 11:00,2.8,243.6,0.7,0,35.5
2018-01-01 12:00,2.9,55.1,1,0,30.3
2018-01-01 13:00,4.1,282.7,2.1,0,27.1
2018-01-01 14:00,4.1,331.4,1.5,0,30
2018-01-01 15:00,3.7,283,0.9,0,32.5
2018-01-01 16:00,5,288.7,0.8,0,34.5
2018-01-01 17:00,3.3,234.2,2.1,0,42
2018-01-01 18:00,1.5,199.5,1,0,49.9
2018-01-01 19:00,0.7,201,0.7,0,55.5
2018-01-01 20:00,0.2,0,0,0,59.1
2018-01-01 21:00,-0.9,0,0.4,0,65.3
2018-01-01 22:00,-1.5,0,0.1,0,69.2
2018-01-01 23:00,-2,0,0,0,72.7
2018-01-02 0:00,-2.5,0,0.1,0,75.2
2018-01-02 1:00,-3,0,0,0,79.1
2018-01-02 2:00,-3.5,0,0.2,0,79.3
2018-01-02 3:00,-3.5,0,0,0,82.1
2018-01-02 4:00,-3.7,0,0.3,0,82.2
2018-01-02 5:00,-4,0,0.1,0,84.3
2018-01-02 6:00,-4,0,0.2,0,84.4
2018-01-02 7:00,-4.1,0,0,0,84.7
2018-01-02 8:00,-4,0,0,0,85.2
2018-01-02 9:00,-2.9,0,0,0,81.7
2018-01-02 10:00,-1.3,0,0.2,0,75.9
2018-01-02 11:00,1.9,0,0.1,0,68.3
2018-01-02 12:00,2.6,332.3,0.7,0,64.6
2018-01-02 13:00,3.8,233,2.2,0,68.1
2018-01-02 14:00,4.2,232.1,1.8,0,68.7
2018-01-02 15:00,4,246,1.3,0,73.2
2018-01-02 16:00,3.7,251.3,1.5,0,73.9
2018-01-02 17:00,2.7,331.2,1.4,0,76.9
2018-01-02 18:00,2,283.4,0.7,0,75.1
2018-01-02 19:00,1.5,260.7,0.7,0,65.7
2018-01-02 20:00,0.6,316.6,0.5,0,53.9
2018-01-02 21:00,0.3,0,0.3,0,55
2018-01-02 22:00,-0.4,220.9,1.4,0,53.8
2018-01-02 23:00,-0.1,269.7,1.8,0,43.3
2018-01-03 0:00,-0.6,244.9,1,0,45.2
2018-01-03 1:00,-1.2,241.8,0.8,0,48.3
2018-01-03 2:00,-1.4,272.3,1.2,0,49.7
2018-01-03 3:00,-2,157.3,0.7,0,53
2018-01-03 4:00,-2.3,304,1.4,0,48.5
2018-01-03 5:00,-2.9,313.1,1.2,0,48.6
2018-01-03 6:00,-3.4,305.4,1.2,0,41.5
2018-01-03 7:00,-4.6,136.7,0.9,0,49.6
2018-01-03 8:00,-5.2,0,0.3,0,53.1
2018-01-03 9:00,-4.3,0,0.3,0,50.3
2018-01-03 10:00,-1.7,170.7,0.8,0,42.5
2018-01-03 11:00,-1,265.4,1,0,41
2018-01-03 12:00,0.6,306,0.5,0,38.5
2018-01-03 13:00,0.9,335.4,1.1,0,37.6
2018-01-03 14:00,1.4,314.8,1.6,0,35.9
2018-01-03 15:00,1.7,318.2,2.1,0,34.4
2018-01-03 16:00,1.9,321.6,1.6,0,31.3
2018-01-03 17:00,0.8,327.8,2,0,32.1
2018-01-03 18:00,-0.1,325.2,1.9,0,34.9
2018-01-03 19:00,-1.7,128.3,1.1,0,46.8
2018-01-03 20:00,-1.7,344.7,1.8,0,49.2
2018-01-03 21:00,-2.4,326.7,1.6,0,54
2018-01-03 22:00,-2.5,339.7,1.2,0,56.1
2018-01-03 23:00,-3.5,179.6,0.8,0,60.5
2018-01-04 0:00,-3.6,208.3,0.6,0,60.3
2018-01-04 1:00,-3.5,0,0.3,0,64.2
2018-01-04 2:00,-3.6,0,0.3,0,66.9
2018-01-04 3:00,-3.5,0,0.3,0,67.8
2018-01-04 4:00,-3.7,323.8,1.2,0,69.4
2018-01-04 5:00,-3.7,346.7,0.9,0,69.1
2018-01-04 6:00,-4,344.5,1.3,0,68.9
2018-01-04 7:00,-4.6,355.8,1.3,0,62.7
2018-01-04 8:00,-5,323,0.7,0,61.6
2018-01-04 9:00,-4.4,0,0.4,0,54.6
2018-01-04 10:00,-3.8,353.9,1.1,0,53.1
2018-01-04 11:00,-3.2,317.2,1,0,50.5
2018-01-04 12:00,-2.4,357.8,1.1,0,39.1
2018-01-04 13:00,-1.5,341.6,0.9,0,37.4
2018-01-04 14:00,-0.9,315.1,1.7,0,36.2
2018-01-04 15:00,-0.5,292.6,1.2,0,36.4
2018-01-04 16:00,-0.6,344.5,0.6,0,37.1
2018-01-04 17:00,-0.6,10.4,0.9,0,38
2018-01-04 18:00,-0.8,34.8,1,0,38.5
2018-01-04 19:00,-0.9,26.6,0.9,0,39.4
2018-01-04 20:00,-1,125.7,0.6,0,41.4
2018-01-04 21:00,-0.9,331.5,1.3,0,41.2
2018-01-04 22:00,-1.2,128.1,0.5,0,44.6
2018-01-04 23:00,-1.3,324.8,1.3,0,45.4
2018-01-05 0:00,-1.7,0,0.3,0,48.8
2018-01-05 1:00,-1.8,0,0.3,0,51
2018-01-05 2:00,-1.8,321.2,0.7,0,48.3
2018-01-05 3:00,-2.1,0,0.1,0,51.3
2018-01-05 4:00,-2.4,0,0.4,0,53.4
2018-01-05 5:00,-2.4,221.3,0.7,0,52.9
2018-01-05 6:00,-2.6,0,0.3,0,53.5
2018-01-05 7:00,-2.9,0,0.4,0,57.2
2018-01-05 8:00,-2.8,0,0.2,0,57.1
2018-01-05 9:00,-2.3,118.1,0.7,0,52.4
2018-01-05 10:00,-0.8,198.3,1.1,0,46.2
2018-01-05 11:00,0.5,242,1.2,0,44.5
2018-01-05 12:00,1.4,250.3,1.3,0,39.8
2018-01-05 13:00,2.2,280.3,1.7,0,44.6
2018-01-05 14:00,3.7,237.9,2.2,0,42.8
2018-01-05 15:00,4,248.9,1.6,0,43.1
2018-01-05 16:00,3.5,245.6,2.4,0,45
2018-01-05 17:00,2.3,279.2,1.9,0,44.4
2018-01-05 18:00,1.4,268.5,1.4,0,52.7
2018-01-05 19:00,0.5,277.8,1.5,0,56.4
2018-01-05 20:00,-0.4,215.1,1,0,61.8
2018-01-05 21:00,-1.1,0,0.4,0,66.6
2018-01-05 22:00,-1.5,239.8,1,0,68.8
2018-01-05 23:00,-1.9,207.2,0.5,0,73.2
2018-01-06 0:00,-1.9,220.4,1.1,0,75
2018-01-06 1:00,-1.4,228.9,0.7,0,73.6
2018-01-06 2:00,-1.3,227.4,1.4,0,71
2018-01-06 3:00,-2.1,219.2,0.9,0,75.4
2018-01-06 4:00,-2.6,212,0.9,0,77.6
2018-01-06 5:00,-3.2,210.2,0.9,0,79.1
2018-01-06 6:00,-3.5,0,0.1,0,76.9
2018-01-06 7:00,-4.7,0,0.2,0,82.7
2018-01-06 8:00,-4.8,0,0,0,83.5
2018-01-06 9:00,-4,0,0.1,0,78.8
2018-01-06 10:00,0.8,0,0.1,0,59.3
2018-01-06 11:00,1.1,175.5,1,0,51.5
2018-01-06 12:00,2.1,196.3,1,0,49.2
2018-01-06 13:00,2.9,344.1,1.1,0,46.6
2018-01-06 14:00,3.8,53.8,1.1,0,40.7
2018-01-06 15:00,5.1,299.3,0.8,0,37.8
2018-01-06 16:00,4.3,64.8,1.3,0,40.3
2018-01-06 17:00,3.7,44,0.7,0,43.8
2018-01-06 18:00,2,82.7,0.8,0,46.9
2018-01-06 19:00,1,98.5,1.2,0,48.6
2018-01-06 20:00,-0.1,0,0.3,0,54.7
2018-01-06 21:00,-1.1,0,0.1,0,59.9
2018-01-06 22:00,-1,118.6,0.7,0,62.4
2018-01-06 23:00,-1.6,120.8,1.1,0,61.3
2018-01-07 0:00,-2.5,116.4,1,0,64.9
2018-01-07 1:00,-3,0,0,0,68
2018-01-07 2:00,-3.9,0,0.4,0,72.2
2018-01-07 3:00,-4.4,0,0,0,76.4
2018-01-07 4:00,-4.7,0,0.2,0,78.4
2018-01-07 5:00,-5.2,309.9,0.5,0,80.3
2018-01-07 6:00,-5.5,221.6,0.6,0,80.7
2018-01-07 7:00,-6.1,0,0.1,0,81.7
2018-01-07 8:00,-5.5,0,0.3,0,79.2
2018-01-07 9:00,-4.4,239.3,1,0,76.4
2018-01-07 10:00,-3.2,21.6,1.2,0,73.5
2018-01-07 11:00,-1.7,319.8,0.5,0,67.3
2018-01-07 12:00,-0.3,226.2,0.8,0,63.3
2018-01-07 13:00,0.1,0,0.3,0,59.7
2018-01-07 14:00,1.7,0,0.4,0,53.7
2018-01-07 15:00,2.6,15.4,1.7,0,48
2018-01-07 16:00,2.9,277.5,0.8,0,47.5
2018-01-07 17:00,2.7,0,0.2,0,49.3
2018-01-07 18:00,2.1,187.8,0.5,0,53.1
2018-01-07 19:00,2,117.2,0.7,0,52.6
2018-01-07 20:00,1.9,0,0,0,55
2018-01-07 21:00,1.8,0,0.1,0,55.5
2018-01-07 22:00,2,0,0.3,0,55.7
2018-01-07 23:00,1.9,0,0.2,0,56.8
2018-01-08 0:00,1.8,0,0.3,0,59.5
2018-01-08 1:00,2,0,0.3,0,56.8
2018-01-08 2:00,2,0,0.4,0,56.4
2018-01-08 3:00,2,0,0,0,57.1
2018-01-08 4:00,2,0,0,0,57.3
2018-01-08 5:00,2,0,0.4,0,59
2018-01-08 6:00,2.1,41.2,0.9,0,58.4
2018-01-08 7:00,1.8,330.1,0.9,0,62.8
2018-01-08 8:00,0.3,337.6,1.8,0,82.3
2018-01-08 9:00,0,0,0.3,0,91.3
2018-01-08 10:00,0.2,0,0.1,0.5,93.4
2018-01-08 11:00,0.8,0,0.3,0,93.3
2018-01-08 12:00,2,0,0.3,0,84.9
2018-01-08 13:00,1.8,275.9,0.6,0,87.2
2018-01-08 14:00,1.9,274.2,0.9,0,91.1
2018-01-08 15:00,2.2,230,1.3,0,91.5
2018-01-08 16:00,2.5,225.6,2.1,0,87.1
2018-01-08 17:00,2,237.3,2.2,0,84.2
2018-01-08 18:00,2,229.8,2.2,0,87.6
2018-01-08 19:00,2,222.7,2.4,0,86.9
2018-01-08 20:00,1.6,254.2,2,0,91.7
2018-01-08 21:00,1.9,245.4,1.7,0.5,92
2018-01-08 22:00,1.7,234.6,2.2,0,89.3
2018-01-08 23:00,1.4,241.8,2.8,0,82.9
2018-01-09 0:00,0.3,271.6,0.7,0.5,96.4
2018-01-09 1:00,-0.4,250.5,1.9,0,92.6
2018-01-09 2:00,-1,271.7,1.3,0,90.8
2018-01-09 3:00,-1.2,249,2.1,0,79.4
2018-01-09 4:00,-1.4,249,3.2,0,79
2018-01-09 5:00,-1.8,239.5,2,0.5,90.4
2018-01-09 6:00,-1.9,280.9,2.5,0,80.1
2018-01-09 7:00,-2.7,277.1,2.3,0,71.1
2018-01-09 8:00,-3.3,244.4,1.5,0,74.5
2018-01-09 9:00,-2.2,256.9,1.1,0,66.1
2018-01-09 10:00,-1.1,231.5,2.2,0,65.4
2018-01-09 11:00,-0.9,238.7,2.9,0,63.9
2018-01-09 12:00,-0.7,245.7,3.1,0,64.9
2018-01-09 13:00,0.9,239.8,3,0,61.7
2018-01-09 14:00,0.1,239.3,3.6,0,64.8
2018-01-09 15:00,0.1,237.9,3.2,0,65
2018-01-09 16:00,-0.3,227.8,3.2,0,70.8
2018-01-09 17:00,-1.2,231.2,2,0,85.1
2018-01-09 18:00,-1.2,237.2,2.3,0,79.7
2018-01-09 19:00,-2.1,204.6,1.7,0,84.8
2018-01-09 20:00,-2,215.9,1.4,0,83.5
2018-01-09 21:00,-2.1,222.6,1.9,0,86.8
2018-01-09 22:00,-2.1,0,0.4,0,88.4
2018-01-09 23:00,-1.7,235.3,1.7,0,95.3
2018-01-10 0:00,-1.5,232.9,2.1,0.5,94.3
2018-01-10 1:00,-1.2,224.5,2.7,0.5,93.3
2018-01-10 2:00,-1.4,232.7,2.2,0,87.4
2018-01-10 3:00,-1.6,268.8,1.8,0,85.1
2018-01-10 4:00,-3,315.3,1.4,0,85.2
2018-01-10 5:00,-2.9,0,0.4,0,82.1
2018-01-10 6:00,-3.2,321.7,1.1,0,74.6
2018-01-10 7:00,-4.2,352.9,1.4,0,65
2018-01-10 8:00,-4.6,340,2,0,58
2018-01-10 9:00,-4.4,338.8,1.7,0,47.8
2018-01-10 10:00,-4.1,327.1,1.4,0,45.4
2018-01-10 11:00,-3,305.8,1.3,0,48.1
2018-01-10 12:00,-3.4,345.3,2.3,0,50.9
2018-01-10 13:00,-2.1,298.2,1.6,0,47.3
2018-01-10 14:00,-4.8,339.7,2.4,0,77.9
2018-01-10 15:00,-4.2,274.3,1.1,0,80.5
2018-01-10 16:00,-4.5,282.3,2.3,0,77.2
2018-01-10 17:00,-4.7,281.8,2.4,0,70
2018-01-10 18:00,-5.2,325.5,2.4,0,74.8
2018-01-10 19:00,-5.8,304.6,2.2,0,71.7
2018-01-10 20:00,-6.2,315.4,2.1,0,70.9
2018-01-10 21:00,-6.6,284,1.4,0,72.4
2018-01-10 22:00,-7.1,334.4,1.6,0,76.4
2018-01-10 23:00,-8,102.8,0.6,0,79.2
2018-01-11 0:00,-7.6,10.1,0.8,0,72.8
2018-01-11 1:00,-8.1,245.3,0.7,0,80.1
2018-01-11 2:00,-8.4,336.3,1.3,0,66.7
2018-01-11 3:00,-8.8,329.1,1.8,0,67.9
2018-01-11 4:00,-9.3,289.6,1.2,0,70.3
2018-01-11 5:00,-10.3,128.1,0.6,0,78.3
2018-01-11 6:00,-10.5,0,0.4,0,81.1
2018-01-11 7:00,-10.8,242.5,0.7,0,84.1
2018-01-11 8:00,-11.6,0,0.2,0,85.6
2018-01-11 9:00,-10.8,0,0.2,0,81.8
2018-01-11 10:00,-7.5,0,0.4,0,68.3
2018-01-11 11:00,-6.5,295.5,1,0,60.6
2018-01-11 12:00,-5.9,301.3,1.8,0,55.3
